symbol,structuralRole,acceptedBinding,entryEvidence,romStart,romEndExclusive,vramStart,vramEndExclusive,bytes,method,liftSuccess,candidateCount,compileAttempted,compilerExited,objectAssembled,scratchContractPassed,scoreableObject,exactScratchBody,canonicalLinkedProof,fullRomProof,score,primaryClass,differingInstructions,differingBytes,expectedTextRelocations,actualTextRelocations,outcome
func_002861C8,primary,GLOBAL,owner,0x002861C8,0x002862FC,0x8022A1F8,0x8022A32C,308,raw-m2c-logical,false,0,false,,false,,false,false,false,false,,,,,,,refused-unresolved-jump-table
func_002861C8,primary,GLOBAL,owner,0x002861C8,0x002862FC,0x8022A1F8,0x8022A32C,308,raw-m2c-logical-current-adapter,false,0,false,,false,,false,false,false,false,,,,,,,refused-unresolved-jump-table
func_002861C8,primary,GLOBAL,owner,0x002861C8,0x002862FC,0x8022A1F8,0x8022A32C,308,match-js-default-logical-equivalent,true,3,true,true,true,false,true,false,false,false,43.1,length-mismatch,51,159,9,10,scoreable-after-scratch-metadata-failure
func_002861C8,primary,GLOBAL,owner,0x002861C8,0x002862FC,0x8022A1F8,0x8022A32C,308,multi-function-m2c-logical,true,1,true,true,true,false,true,false,false,false,43.1,length-mismatch,51,159,9,10,scoreable-after-scratch-metadata-failure
func_002861C8,primary,GLOBAL,owner,0x002861C8,0x002862FC,0x8022A1F8,0x8022A32C,308,asmlift-logical,false,0,false,,false,,false,false,false,false,,,,,,,refused-unsupported-indirect-jump
func_002861C8_scan,scan,LOCAL,internal-call-only,0x002862FC,0x002863F8,0x8022A32C,0x8022A428,252,raw-m2c-logical,true,1,true,false,false,false,false,false,false,false,,,,,2,0,compile-syntax-or-type-failure
func_002861C8_scan,scan,LOCAL,internal-call-only,0x002862FC,0x002863F8,0x8022A32C,0x8022A428,252,raw-m2c-logical-current-adapter,true,1,true,true,true,true,true,false,false,false,25.36,cfg-mismatch,58,210,2,3,scoreable-nonexact
func_002861C8_scan,scan,LOCAL,internal-call-only,0x002862FC,0x002863F8,0x8022A32C,0x8022A428,252,match-js-default-logical-equivalent,true,3,true,true,true,false,true,false,false,false,39.32,length-mismatch,53,161,2,2,scoreable-after-scratch-metadata-failure
func_002861C8_scan,scan,LOCAL,internal-call-only,0x002862FC,0x002863F8,0x8022A32C,0x8022A428,252,multi-function-m2c-logical,true,1,true,true,true,true,true,false,false,false,25.36,cfg-mismatch,58,210,2,3,scoreable-nonexact
func_002861C8_scan,scan,LOCAL,internal-call-only,0x002862FC,0x002863F8,0x8022A32C,0x8022A428,252,asmlift-logical,false,0,false,,false,,false,false,false,false,,,,,,,refused-unsupported-branch-likely
func_002861C8_find,find,LOCAL,fixed-address-call,0x002863F8,0x00286444,0x8022A428,0x8022A474,76,raw-m2c-logical,true,1,true,false,false,false,false,false,false,false,,,,,1,0,compile-syntax-or-type-failure
func_002861C8_find,find,LOCAL,fixed-address-call,0x002863F8,0x00286444,0x8022A428,0x8022A474,76,raw-m2c-logical-current-adapter,true,1,true,false,false,false,false,false,false,false,,,,,1,0,compile-syntax-or-type-failure
func_002861C8_find,find,LOCAL,fixed-address-call,0x002863F8,0x00286444,0x8022A428,0x8022A474,76,match-js-default-logical-equivalent,true,3,true,true,true,true,true,false,false,false,37.7,cfg-mismatch,15,45,1,1,scoreable-nonexact
func_002861C8_find,find,LOCAL,fixed-address-call,0x002863F8,0x00286444,0x8022A428,0x8022A474,76,multi-function-m2c-logical,true,1,true,true,true,false,true,false,false,false,18.75,length-mismatch,19,65,1,0,scoreable-after-scratch-metadata-failure
func_002861C8_find,find,LOCAL,fixed-address-call,0x002863F8,0x00286444,0x8022A428,0x8022A474,76,asmlift-logical,false,0,false,,false,,false,false,false,false,,,,,,,refused-unsupported-branch-likely
