hijsSource,hijsObject,hijsOrder,hijsSymbol,hijsRepresentation,logicalRomStart,logicalRomEndExclusive,logicalVramStart,logicalVramEndExclusive,ourLogicalSymbol,ourAcceptedOwner,acceptedOwnerRomStart,acceptedOwnerRomEndExclusive,boundaryStatus,crossBoundaryNonCall,sharedStackState,dataRelationship,note
src/segment_14/281860.c,build/src/segment_14/281860.o,1,func_segment_14_80225890_281860,INCLUDE_ASM,0x00281860,0x002819EC,0x80225890,0x80225A1C,func_00281860,func_00281860,0x00281860,0x002819EC,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,2,__init_animation_context_5c_seg_14,INCLUDE_ASM,0x002819EC,0x00281A8C,0x80225A1C,0x80225ABC,func_002819EC,func_002819EC,0x002819EC,0x00281A8C,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,3,__tick_animation_context_5c_seg_14,INCLUDE_ASM,0x00281A8C,0x00281AE0,0x80225ABC,0x80225B10,func_00281A8C,func_00281A8C,0x00281A8C,0x00281AE0,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,4,__render_animation_context_5c_seg_14,INCLUDE_ASM,0x00281AE0,0x00281BAC,0x80225B10,0x80225BDC,func_00281AE0,func_00281AE0,0x00281AE0,0x00281BAC,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,5,__destroy_animation_context_5c_seg_14,INCLUDE_ASM,0x00281BAC,0x00281BD8,0x80225BDC,0x80225C08,func_00281BAC,func_00281BAC,0x00281BAC,0x00281BD8,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,6,func_segment_14_80225C08_281BD8,INCLUDE_ASM,0x00281BD8,0x00281C78,0x80225C08,0x80225CA8,func_00281BD8,func_00281BD8,0x00281BD8,0x00281C78,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,7,func_segment_14_80225CA8_281C78,INCLUDE_ASM,0x00281C78,0x00281CE4,0x80225CA8,0x80225D14,func_00281C78,func_00281C78,0x00281C78,0x00281CE4,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,8,func_segment_14_80225D14_281CE4,INCLUDE_ASM,0x00281CE4,0x00281ED0,0x80225D14,0x80225F00,func_00281CE4,func_00281CE4,0x00281CE4,0x00281ED0,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,9,func_segment_14_80225F00_281ED0,INCLUDE_ASM,0x00281ED0,0x00281F10,0x80225F00,0x80225F40,func_00281ED0,func_00281ED0,0x00281ED0,0x00281F10,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,10,func_segment_14_80225F40_281F10,INCLUDE_ASM,0x00281F10,0x00281FA8,0x80225F40,0x80225FD8,func_00281F10,func_00281F10,0x00281F10,0x00281FA8,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,11,func_segment_14_80225FD8_281FA8,INCLUDE_ASM,0x00281FA8,0x00282004,0x80225FD8,0x80226034,func_00281FA8,func_00281FA8,0x00281FA8,0x00282004,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,12,func_segment_14_80226034_282004,INCLUDE_ASM,0x00282004,0x00282094,0x80226034,0x802260C4,func_00282004,func_00282004,0x00282004,0x00282094,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,13,func_segment_14_802260C4_282094,INCLUDE_ASM,0x00282094,0x002820C0,0x802260C4,0x802260F0,func_00282094,func_00282094,0x00282094,0x002820C0,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,14,func_segment_14_802260F0_2820C0,INCLUDE_ASM,0x002820C0,0x00282160,0x802260F0,0x80226190,func_002820C0,func_002820C0,0x002820C0,0x00282160,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,15,func_segment_14_80226190_282160,INCLUDE_ASM,0x00282160,0x002821DC,0x80226190,0x8022620C,func_00282160,func_00282160,0x00282160,0x002821DC,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,16,func_segment_14_8022620C_2821DC,INCLUDE_ASM,0x002821DC,0x00282294,0x8022620C,0x802262C4,func_002821DC,func_002821DC,0x002821DC,0x00282294,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,17,func_segment_14_802262C4_282294,INCLUDE_ASM,0x00282294,0x002822F4,0x802262C4,0x80226324,func_00282294,func_00282294,0x00282294,0x002822F4,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,18,func_segment_14_80226324_2822F4,INCLUDE_ASM,0x002822F4,0x00282394,0x80226324,0x802263C4,func_002822F4,func_002822F4,0x002822F4,0x00282394,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,19,func_segment_14_802263C4_282394,INCLUDE_ASM,0x00282394,0x0028240C,0x802263C4,0x8022643C,func_00282394,func_00282394,0x00282394,0x0028240C,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,20,__init_animation_context_5c,INCLUDE_ASM,0x0028240C,0x00282508,0x8022643C,0x80226538,func_0028240C,func_0028240C,0x0028240C,0x00282508,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,21,__tick_animation_context_5c,INCLUDE_ASM,0x00282508,0x002825BC,0x80226538,0x802265EC,func_00282508,func_00282508,0x00282508,0x002825BC,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,22,__render_animation_context_5c,INCLUDE_ASM,0x002825BC,0x002827AC,0x802265EC,0x802267DC,func_002825BC,func_002825BC,0x002825BC,0x002827AC,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,23,__destroy_animation_context_5c,INCLUDE_ASM,0x002827AC,0x002827EC,0x802267DC,0x8022681C,func_002827AC,func_002827AC,0x002827AC,0x002827EC,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/281860.c,build/src/segment_14/281860.o,24,func_segment_14_8022681C_2827EC,INCLUDE_ASM,0x002827EC,0x00282F58,0x8022681C,0x80226F88,func_002827EC,func_002827EC,0x002827EC,0x00282F58,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,aux-row-5130-compiler-table-and-preserved-tail,Hijs groups this routine with the YAML rodata region at 0x286B50
src/segment_14/281860.c,build/src/segment_14/281860.o,25,func_segment_14_80226F88_282F58,INCLUDE_ASM,0x00282F58,0x00282FE0,0x80226F88,0x80227010,func_00282F58,func_00282F58,0x00282F58,0x00282FE0,accepted-ordinary-function,not-assessed-in-this-map,not-evidenced,none,last routine in the 0x281860 C subsegment
src/segment_14/281860.c,build/src/segment_14/281860.o,26,YAML-rodata-281860,linked-rodata-group,0x00286B50,0x00286B90,0x8022AB80,0x8022ABC0,func_002827EC-auxiliary,aux-row-5130,0x00286B50,0x00286B90,accepted-auxiliary-row,not-applicable,not-applicable,func_002827EC-table-plus-preserved-tail,"YAML ties .rodata at 0x286B50 to 281860; wrapper explicitly includes labels at 0x286B78 and 0x286B88"
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,1,func_segment_14_80227E20_283DF0,INCLUDE_ASM,0x00283DF0,0x00283E14,0x80227E20,0x80227E44,func_00283DF0,func_00283DF0,0x00283DF0,0x00283E14,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,2,func_segment_14_80227E44_283E14,INCLUDE_ASM,0x00283E14,0x00283FA8,0x80227E44,0x80227FD8,func_00283E14,func_00283E14,0x00283E14,0x00283FA8,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,shared-aux-row-5131,Hijs groups this switch routine with the YAML rodata region at 0x286B90
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,3,func_segment_14_80227FD8_283FA8,INCLUDE_ASM,0x00283FA8,0x00284150,0x80227FD8,0x80228180,func_00283FA8,func_00283FA8,0x00283FA8,0x00284150,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,4,func_segment_14_80228180_284150,INCLUDE_ASM,0x00284150,0x00284184,0x80228180,0x802281B4,func_00284150,func_00284150,0x00284150,0x00284184,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,5,func_segment_14_802281B4_284184,INCLUDE_ASM,0x00284184,0x002841CC,0x802281B4,0x802281FC,func_00284184,func_00284184,0x00284184,0x002841CC,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,6,func_segment_14_802281FC_2841CC,INCLUDE_ASM,0x002841CC,0x00284210,0x802281FC,0x80228240,func_002841CC,func_002841CC,0x002841CC,0x00284210,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,7,func_segment_14_80228240_284210,INCLUDE_ASM,0x00284210,0x0028422C,0x80228240,0x8022825C,func_00284210,func_00284210,0x00284210,0x0028422C,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,8,func_segment_14_8022825C_28422C,INCLUDE_ASM,0x0028422C,0x00284288,0x8022825C,0x802282B8,func_0028422C,func_0028422C,0x0028422C,0x00284288,accepted-ordinary-function,no-cross-boundary-edge-evidenced,not-evidenced,none,separate assembly routine included by one parent C object
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,9,func_segment_14_802282B8_284288,INCLUDE_ASM,0x00284288,0x002861C8,0x802282B8,0x8022A1F8,func_00284288,func_00284288,0x00284288,0x002861C8,accepted-one-large-logical-function,no-edge-to-interior-or-across-owner-found,single-frame-and-one-return,none,Hijs also keeps the parser as one separately named routine rather than splitting it
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,10,func_segment_14_8022A1F8_2861C8,INCLUDE_ASM,0x002861C8,0x002862FC,0x8022A1F8,0x8022A32C,func_002861C8,func_002861C8,0x002861C8,0x00286444,logical-compiler-function-within-accepted-owner,calls-scan-no-fallthrough-or-shared-tail,independent-return,shared-aux-row-5131,primary of three proven compiler functions inside one accepted owner
src/segment_14/283DF0.c,build/src/segment_14/283DF0.o,11,func_segment_14_8022A32C_2862FC,INCLUDE_ASM,0x002862FC,0x002863F8,0x8022A32C,0x8022A428,func_002861C8_scan,func_002861C8,0x002861C8,0x00286444,local-compiler-function-internal-call-only,no-fallthrough-or-shared-tail,independent-return,none,Hijs separate entry agrees with the accepted internal compiler-function boundary
