cluster,symbol,acceptedOwner,acceptedRomStart,acceptedRomEndExclusive,acceptedVramStart,bytes,groupedOffset,comparisonStage,groupedVsSeparateTextExact,groupedVsSeparateDifferingBytes,groupedVsSeparateDifferingWords,separateExactAcceptedBytes,groupedExactAcceptedBytes,groupedDifferingAcceptedBytes,groupedDifferingAcceptedWords,relocationShapeExact,frameMaskRegisterUseExact,groupedBinding,separateBinding,rawRelocatableDifferingWords,rawRelocatableDifferingWordOffsets,interfunctionPaddingBytes,note
accessor-control,func_0004573c,func_0004573c,0x0004573C,0x00045754,0x8016F83C,24,0x000,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_00045754,func_00045754,0x00045754,0x0004576C,0x8016F854,24,0x018,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_0004576c,func_0004576c,0x0004576C,0x00045784,0x8016F86C,24,0x030,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_00045784,func_00045784,0x00045784,0x0004579C,0x8016F884,24,0x048,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_0004579c,func_0004579c,0x0004579C,0x000457B4,0x8016F89C,24,0x060,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_000457b4,func_000457b4,0x000457B4,0x000457CC,0x8016F8B4,24,0x078,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_000457cc,func_000457cc,0x000457CC,0x000457E4,0x8016F8CC,24,0x090,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_000457e4,func_000457e4,0x000457E4,0x00045800,0x8016F8E4,28,0x0A8,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_00045800,func_00045800,0x00045800,0x00045820,0x8016F900,32,0x0C4,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_00045820,func_00045820,0x00045820,0x00045840,0x8016F920,32,0x0E4,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_00045840,func_00045840,0x00045840,0x0004585C,0x8016F940,28,0x104,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_0004585c,func_0004585c,0x0004585C,0x00045878,0x8016F95C,28,0x120,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_00045878,func_00045878,0x00045878,0x00045898,0x8016F978,32,0x13C,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_00045898,func_00045898,0x00045898,0x000458B8,0x8016F998,32,0x15C,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_000458b8,func_000458b8,0x000458B8,0x000458D4,0x8016F9B8,28,0x17C,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
accessor-control,func_000458d4,func_000458d4,0x000458D4,0x000458F0,0x8016F9D4,28,0x198,relocatable function slice; no relocations,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,,,0,"No rodata and no relocations; compiler assembly, registers, frame/mask, symbol size/type/binding, and accepted function bytes are unchanged."
parser-resource-control,func_00283E14,func_00283E14,0x00283E14,0x00283FA8,0x80227E44,404,0x00000000,scratch-linked at accepted VMA,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,0,,0,Raw and linked function bytes are exact.
parser-resource-control,func_00283FA8,func_00283FA8,0x00283FA8,0x00284150,0x80227FD8,424,0x00000194,scratch-linked at accepted VMA,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,2,0x64;0x94,0,Raw object differences are relocation-bearing local jump/call encodings; normalized relocations and linked bytes are exact.
parser-resource-control,func_00284150,func_00284150,0x00284150,0x00284184,0x80228180,52,0x0000033C,scratch-linked at accepted VMA,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,0,,0,Raw and linked function bytes are exact.
parser-resource-control,func_00284184,func_00284184,0x00284184,0x002841CC,0x802281B4,72,0x00000370,scratch-linked at accepted VMA,true,0,0,true,true,,,true,true,GLOBAL,GLOBAL,0,,0,Raw and linked function bytes are exact.
