command,retail_rom_entry,live_entry,cfg_region,cfg_blocks,successors,stream_argument_count,stream_widths_signedness,cursor_advancement,external_calls,important_memory_global_accesses,shared_exit_tail,expected_block_count,candidate_block_count,block_count_parity,call_parity,successor_parity,shared_tail_convergence,normalized_block_parity,expected_unmatched_blocks,candidate_unmatched_blocks
0x00000000,0x00284B1C,0x80228B4C,0x0894..0x1EC4; 2 blocks,0x0894|0x1EC0,taken:0x1EC0,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,none,none isolated,post-command,2,2,true,true,true,true,true,0,0
0x00000001,0x00284B24,0x80228B54,0x089C..0x08AC; 2 blocks,0x089C|0x08A4,fallthrough:0x08A4,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_00283654@0x00284B24,none isolated,post-command,2,2,true,true,true,true,true,0,0
0x00000002,0x00284B34,0x80228B64,0x08AC..0x08BC; 2 blocks,0x08AC|0x08B4,fallthrough:0x08B4,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_002836A4@0x00284B34,none isolated,post-command,2,2,true,true,true,true,true,0,0
0x00000003,0x00284B44,0x80228B74,0x08BC..0x091C; 2 blocks,0x08BC|0x0914,fallthrough:0x0914,8,8 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+8 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A08C0@0x00284B94,R32@$v0+0x0014|R32@$v0+0x0018|R32@$v0+0x001C|Rs32@$v0+0x0004|Rs32@$v0+0x0008|Rs32@$v0+0x000C|Rs32@$v0+0x0010|Rs32@$v0+0x0020,post-command,2,2,true,true,true,true,false,1,1
0x00000005,0x00284BA4,0x80228BD4,0x091C..0x0938; 2 blocks,0x091C|0x0930,fallthrough:0x0930,1,1 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+1 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A0548@0x00284BB0,Rs32@$v0+0x0004,post-command,2,2,true,true,true,true,false,1,1
0x00000006,0x00284BC0,0x80228BF0,0x0938..0x0954; 2 blocks,0x0938|0x094C,fallthrough:0x094C,1,1 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+1 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A0374@0x00284BCC,Rs32@$v0+0x0004,post-command,2,2,true,true,true,true,true,0,0
0x00000007,0x00284BDC,0x80228C0C,0x0954..0x09C0; 2 blocks,0x0954|0x09B8,fallthrough:0x09B8,7,7 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+7 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A0B14@0x00284C38,R32@$v1+0x0008|R32@$v1+0x000C|R32@$v1+0x0010|R32@$v1+0x0014|Rs32@$v1+0x0004|Rs32@$v1+0x0018|Rs32@$v1+0x001C,post-command,2,2,true,true,true,true,false,1,1
0x00000008,0x00284C48,0x80228C78,0x09C0..0x0C1C; 4 blocks,0x09C0|0x09D0|0x09E0|0x0C14,fallthrough:0x09D0|taken:0x0C14,3,3 x 32-bit stream slots; slot signedness unknown; direct retail reads=+0x04:32-bit-signed|+0x08:32-bit-signed|+0x0C:32-bit-signed,+3 argument slots before shared tail; normal continuation consumes +1 command slot,func_8023C228@0x00284C60,Rs32@$t0+0x0004|Rs32@$t0+0x0008|Rs32@$t0+0x000C|Ru8@0x8018FC19,post-command,4,4,true,true,true,true,false,1,1
0x0000000D,0x00284C70,0x80228CA0,0x09E8..0x1EC4; 4 blocks,0x09E8|0x09F8|0x0A00|0x1EC0,fallthrough:0x09F8|taken:0x1EC0,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_8023C214@0x00284C80,Ru8@0x8018FC19,post-command,4,4,true,true,true,true,true,0,0
0x0000000E,0x00285CF0,0x80229D20,0x0FA8..0x1EC4; 4 blocks,0x0FA8|0x1A68|0x1A70|0x1EC0,fallthrough:0x1A70,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_00283694@0x00285CF0,none isolated,post-command,4,3,false,true,true,true,false,3,2
0x0000000F,0x00284C90,0x80228CC0,0x0A08..0x1EC4; 3 blocks,0x0A08|0x0A1C|0x1EC0,fallthrough:0x0A1C,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_0029DF04@0x00284C9C,Rs32@$v0+0x000C,post-command,3,3,true,true,true,true,false,1,1
0x00000010,0x00284CAC,0x80228CDC,0x0A24..0x1EC4; 3 blocks,0x0A24|0x0A30|0x1EC0,fallthrough:0x0A30,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=+0x0C:32-bit-signed,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A0354@0x00284CB0,Rs32@$t0+0x000C,post-command,3,3,true,true,true,true,true,0,0
0x00000011,0x00284CC0,0x80228CF0,0x0A38..0x1EC4; 3 blocks,0x0A38|0x0A48|0x1EC0,fallthrough:0x0A48,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A13C4@0x00284CC8,Rs32@$v0+0x000C,post-command,3,3,true,true,true,true,false,1,1
0x00000012,0x00286148,0x8022A178,0x1EC0..0x1EC4; 1 blocks,0x1EC0,tail:post-command,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,none,none isolated,post-command,1,0,false,true,true,true,false,1,0
0x00000013,0x00284CD8,0x80228D08,0x0A50..0x0A6C; 2 blocks,0x0A50|0x0A64,fallthrough:0x0A64,1,1 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+1 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A05EC@0x00284CE4,Rs32@$v0+0x0004,post-command,2,2,true,true,true,true,true,0,0
0x00000014,0x00284CF4,0x80228D24,0x0A6C..0x0AD0; 2 blocks,0x0A6C|0x0AC8,fallthrough:0x0AC8,9,9 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+9 argument slots before shared tail; normal continuation consumes +1 command slot,func_0029D790@0x00284D48,R32@$v1+0x0014|R32@$v1+0x0018|R32@$v1+0x001C|Rs32@$v1+0x0004|Rs32@$v1+0x0008|Rs32@$v1+0x000C|Rs32@$v1+0x0010|Ru8@$v1+0x0023|Ru8@$v1+0x0027,post-command,2,2,true,true,true,true,false,1,1
0x00000015,0x00284D58,0x80228D88,0x0AD0..0x0AF8; 2 blocks,0x0AD0|0x0AF0,fallthrough:0x0AF0,5,5 x 32-bit stream slots; slot signedness unknown; direct retail reads=+0x04:32-bit-signed|+0x08:32-bit-signed|+0x0C:32-bit-signed|+0x10:32-bit-signed|+0x14:32-bit-signed,+5 argument slots before shared tail; normal continuation consumes +1 command slot,func_0029C624@0x00284D70,Rs32@$t0+0x0004|Rs32@$t0+0x0008|Rs32@$t0+0x000C|Rs32@$t0+0x0010|Rs32@$t0+0x0014,post-command,2,2,true,true,true,true,true,0,0
0x00000016,0x00284D80,0x80228DB0,0x0AF8..0x1EC4; 3 blocks,0x0AF8|0x0B08|0x1EC0,fallthrough:0x0B08,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_0029C92C@0x00284D88,Rs32@$v0+0x000C,post-command,3,3,true,true,true,true,false,1,1
0x0000001A,0x00284D98,0x80228DC8,0x0B10..0x0B2C; 2 blocks,0x0B10|0x0B24,fallthrough:0x0B24,1,1 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+1 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A053C@0x00284DA4,Rs32@$v0+0x0004,post-command,2,2,true,true,true,true,false,1,1
0x0000001B,0x00284DB4,0x80228DE4,0x0B2C..0x0B64; 2 blocks,0x0B2C|0x0B5C,fallthrough:0x0B5C,6,6 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+6 argument slots before shared tail; normal continuation consumes +1 command slot,func_002838AC@0x00284DDC,Rs32@$v0+0x0004|Rs32@$v0+0x0008|Rs32@$v0+0x000C|Rs32@$v0+0x0010|Rs32@$v0+0x0014|Rs32@$v0+0x0018,post-command,2,2,true,true,true,true,false,1,1
0x0000001C,0x00284DEC,0x80228E1C,0x0B64..0x1EC4; 4 blocks,0x0B64|0x0B74|0x0B8C|0x1EC0,fallthrough:0x0B74|taken:0x1EC0,unknown,unknown/variable; direct retail reads=none isolated,unknown/variable before shared tail; observed deltas=2|4,func_8023A5EC@0x00284E0C,Rs32@$v0+0x0004|Rs32@$v0+0x0008|Ru8@0x8018FC19,post-command,4,4,true,true,true,true,true,0,0
0x0000001D,0x00284E1C,0x80228E4C,0x0B94..0x0BAC; 2 blocks,0x0B94|0x0BA4,fallthrough:0x0BA4,2,2 x 32-bit stream slots; slot signedness unknown; direct retail reads=+0x04:32-bit-signed|+0x08:32-bit-signed,+2 argument slots before shared tail; normal continuation consumes +1 command slot,func_002A1690@0x00284E24,Rs32@$t0+0x0004|Rs32@$t0+0x0008,post-command,2,2,true,true,true,true,true,0,0
0x0000001E,0x00284E34,0x80228E64,0x0BAC..0x0BF8; 2 blocks,0x0BAC|0x0BF0,fallthrough:0x0BF0,9,9 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+9 argument slots before shared tail; normal continuation consumes +1 command slot,func_0029BA80@0x00284E70,Rs32@$v1+0x0004|Rs32@$v1+0x0008|Rs32@$v1+0x000C|Rs32@$v1+0x0010|Rs32@$v1+0x0014|Rs32@$v1+0x0018|Rs32@$v1+0x001C|Rs32@$v1+0x0020|Rs32@$v1+0x0024,post-command,2,2,true,true,true,true,false,1,1
0x0000001F,0x00284E80,0x80228EB0,0x0BF8..0x1EC4; 3 blocks,0x0BF8|0x0C0C|0x1EC0,fallthrough:0x0C0C,0,0 x 32-bit stream slots; slot signedness unknown; direct retail reads=none isolated,+0 argument slots before shared tail; normal continuation consumes +1 command slot,func_0029BDC4@0x00284E8C,Rs32@$v0+0x000C,post-command,3,3,true,true,true,true,false,1,1
