symbol,target_vram,accepted_symbols,accepted_owner_resolution,retail_call_count,call_sites_rom,observed_argument_registers,observed_stack_argument_slots,observed_minimum_argument_count,observed_return_use,predecessor_declaration,strongest_repository_definition,linkage_evidence,evidence_strength,recommended_prototype,discrepancies
func_00019e10,0x80089A10,func_00019e10,unique:func_00019e10,1,0x0028591C,none isolated,0,0,unknown,void func_00019e10(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_00019e10(s32),return/parameter types remain unconfirmed
func_00019fc0,0x80089BC0,func_00019fc0,unique:func_00019fc0,1,0x00285924,none isolated,0,0,unknown,void func_00019fc0(),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_00019fc0(),return/parameter types remain unconfirmed
func_0001a050,0x80089C50,func_0001a050,unique:func_0001a050,1,0x00285934,none isolated,0,0,unknown,void func_0001a050(s32),void func_0001a050(void) [src/lib/func_0001a050.c],src/lib/func_0001a050.c,strong:accepted-linked-C-definition,void func_0001a050(void),predecessor differs from strongest C definition
func_00045cb0,0x8016FDB0,func_00045cb0,unique:func_00045cb0,1,0x00285D14,$a0,0,1,unknown,void func_00045cb0(s8),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_00045cb0(s8),return/parameter types remain unconfirmed
func_00045df4,0x8016FEF4,func_00045df4,unique:func_00045df4,1,0x002859D4,$a0,0,1,unknown,s32 func_00045df4(s16),int func_00045df4(s16 arg0) [src/lib/func_00045df4.c],src/lib/func_00045df4.c,strong:accepted-linked-C-definition,int func_00045df4(s16 arg0),none
func_000466f4,0x801707F4,func_000466f4,unique:func_000466f4,1,0x00285D64,none isolated,0,0,unknown,void func_000466f4(),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_000466f4(),return/parameter types remain unconfirmed
func_00048024,0x80172124,func_00048024,unique:func_00048024,1,0x00285D5C,none isolated,0,0,unknown,void func_00048024(),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_00048024(),return/parameter types remain unconfirmed
func_00048294,0x80172394,func_00048294,unique:func_00048294,1,0x00285D54,none isolated,0,0,unknown,void func_00048294(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_00048294(s32),return/parameter types remain unconfirmed
func_0004ecfc,0x80178DFC,func_0004ecfc,unique:func_0004ecfc,2,0x002860A8|0x00286124,none isolated,0,0,not-observed-before-overwrite,void func_0004ecfc(),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_0004ecfc(),return/parameter types remain unconfirmed
func_001F0E04,0x801AD974,func_001F0E04,unique:func_001F0E04,2,0x00285598|0x002855D0,$a0|$a1,0,2,unknown,"void func_001F0E04(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_001F0E04(s32, s32)",return/parameter types remain unconfirmed
func_0026285C,0x8020DCAC,func_0026285C,unique:func_0026285C,1,0x00285BF0,$a1,0,2,unknown,"void func_0026285C(s32, u16)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0026285C(s32, u16)",return/parameter types remain unconfirmed
func_0028308C,0x802270BC,func_0028308C,unique:func_0028308C,1,0x00285778,$a0|$a1|$a2,0,3,unknown,"void func_0028308C(s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0028308C(s32, s32, s32)",return/parameter types remain unconfirmed
func_002831E0,0x80227210,func_002831E0,unique:func_002831E0,1,0x00285798,$a0|$a1,0,2,unknown,"void func_002831E0(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002831E0(s32, s32)",return/parameter types remain unconfirmed
func_00283224,0x80227254,func_00283224,unique:func_00283224,1,0x00285CB8,$a0|$a1|$a2|$a3,0,4,unknown,"void func_00283224(s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_00283224(s32, s32, s32, s32)",return/parameter types remain unconfirmed
